Subject_ID,Audio_Jitter_ms,Handwriting_Pressure_kPa,Keystroke_Latency_ms,Emotion_Label
SUB_0,5.993428306022466,122.94618437037171,251.52972939952897,stress
SUB_1,4.72347139765763,118.07675313370189,142.23226164774803,stress
SUB_2,6.295377076201385,148.55372268058608,228.77185951120737,Calm
SUB_3,8.046059712816051,165.9849342427866,169.0380770919316,calm
SUB_4,4.531693250553328,140.6054083240385,183.62985968145236,Neutral
SUB_5,4.531726086101639,150.3463125351139,202.38021334334587,STRESS
SUB_6,8.158425631014783,113.47787303080757,194.02544741367203,Stress
SUB_7,6.534869458305818,123.76214418417403,116.19471792535325,STRESS
SUB_8,4.061051228130096,164.5719622079892,269.0906010581658,calm
SUB_9,,135.80134380774686,256.72046093794484,Stress
SUB_10,4.0731646143750755,112.73910372711553,192.68417534369348,calm
SUB_11,4.068540492859486,120.97651664362125,246.7199313364542,Stress
SUB_12,5.483924543132068,151.1145387091365,180.11524193310123,Neutral
SUB_13,,153.78681030972447,150.8901278127758,Neutral
SUB_14,1.5501643349739345,94.73606575140678,202.72065071002876,calm
SUB_15,3.8754249415180544,130.87773825140613,141.55485707576398,Neutral
SUB_16,2.9743377593311524,119.76471472340066,230.45253117416615,STRESS
SUB_17,5.628494665190548,118.03392455688875,164.87186252801288,Neutral
SUB_18,,159.9092385129215,119.99845603835107,Stress
SUB_19,2.175392597329417,112.87385580318222,18.639615208076123,Calm
SUB_20,7.931297537843108,102.73268690174635,193.64718405677039,stress
SUB_21,4.548447399026928,95.55026086894458,216.03512448695736,Calm
SUB_22,5.1350564093758475,114.76359206383066,266.88681890716623,stress
SUB_23,2.1505036275730864,97.94261193665534,113.24947178747028,Calm
SUB_24,3.9112345509496347,94.05654712382844,250.4599406521302,Calm
SUB_25,,93.30089622998716,175.64204054125761,calm
SUB_26,2.6980128451553944,95.08371887679601,196.91783726309535,Calm
SUB_27,5.751396036691344,97.17502832947979,200.28897888707374,Calm
SUB_28,3.79872262016239,131.97158164975622,199.47991797320967,Calm
SUB_29,4.416612500413446,61.20052432178586,98.34991692074122,STRESS
SUB_30,,98.9474025604943,235.79205036606587,stress
SUB_31,8.704556369017876,116.99610277925302,241.72603794747815,Stress
SUB_32,4.973005550524132,154.45873860534417,247.83386568122077,STRESS
SUB_33,2.8845781420881993,112.62218882770249,224.37380601731772,Neutral
SUB_34,6.645089824206378,115.40029896351979,189.6439596309286,Stress
SUB_35,2.5583127000579555,117.3615988806564,126.59927425686837,Calm
SUB_36,5.4177271900095105,65.28937038666821,222.4267497220633,Stress
SUB_37,1.0806597522404489,139.77279302774795,201.92704767424053,Stress
SUB_38,2.343627902203139,138.52264710634122,199.87746084400754,Neutral
SUB_39,5.393722471738247,144.43488477860018,222.03277389792547,Calm
SUB_40,6.476933159990821,195.1754415908487,197.74440002739456,Neutral
SUB_41,5.342736562379941,81.04435191038371,177.79909013504636,stress
SUB_42,4.768703435223519,75.3592000618298,141.0014311711592,STRESS
SUB_43,,141.17601943796964,199.70728570958744,Calm
SUB_44,2.0429560192651453,109.87532696442923,273.6684503615902,Neutral
SUB_45,3.5603115832105825,90.43115239389178,144.86775383592345,Calm
SUB_46,4.078722458080425,111.52312596537092,250.15646261024406,Stress
SUB_47,7.114244452437831,-999.0,235.7262806093356,stress
SUB_48,5.687236579136923,171.743312033915,114.39467510463159,Calm
SUB_49,1.473919689274532,187.85436912069906,230.42602183722363,stress
SUB_50,5.64816793878959,70.93316125969602,200.90661134526087,stress
SUB_51,,75.7035356020009,195.82738269162542,Calm
SUB_52,3.6461559993880828,97.21895986104279,299.8107262147357,STRESS
SUB_53,6.2233525776817356,99.31415874962964,247.0661388382295,stress
SUB_54,,96.74218659904743,153.5937488334683,Neutral
SUB_55,6.862560238232398,114.17297461369459,231.98683701145487,STRESS
SUB_56,3.3215649535547227,106.59495597834179,154.1577497730478,calm
SUB_57,,-999.0,156.26262179755992,Stress
SUB_58,5.662526862807128,89.19575277408057,208.02031948210796,STRESS
SUB_59,6.951090254244718,166.39016496628693,258.68586982226515,Stress
SUB_60,4.04165152430942,109.27655259795951,125.6368101085091,Neutral
SUB_61,4.628682046672366,107.74107325122033,174.81053174218718,calm
SUB_62,2.7873300519879436,-999.0,258.79170308183166,Calm
SUB_63,2.6075867518386584,106.10349818087502,152.95848445287623,Neutral
